i,lon,lat,tile_gray,scaled_cost,status
0,-79.41051942893533,43.6490885910897,0,1,OK
1,-79.31462359674808,43.642772458789764,0,1,OK
2,-79.38563239821143,43.63980791064399,0,1,OK
3,-79.31125779814765,43.629478830212385,0,1,OK
4,-79.35390757087556,43.6970975361436,0,1,OK
5,-79.41825167758859,43.658851537216435,0,1,OK
6,-79.37933346552072,43.63315180241068,0,1,OK
7,-79.30376199904207,43.66100437871099,0,nan,OK
8,-79.38376782455855,43.672228483297594,0,1,OK
9,-79.32521261520895,43.66684953450509,0,1,OK
10,-79.41525318277567,43.67163331417701,0,1,OK
11,-79.37222262068444,43.64458789052389,0,1,OK
12,-79.3246396709627,43.7060778789387,0,nan,OK
13,-79.37909976058695,43.64667226298316,0,1,OK
14,-79.38560243316381,43.664117449448455,0,1,OK
15,-79.30525871765124,43.653034543369955,0,nan,OK
16,-79.32257917678962,43.69727980884243,0,1,OK
17,-79.40100305699968,43.66228602602387,0,1,OK
18,-79.38948074746392,43.64997023601396,0,1,OK
19,-79.3267490064045,43.684199684978594,0,1,OK
20,-79.34876257697812,43.69715733618057,0,1,OK
21,-79.35876592060161,43.6711217788977,0,1,OK
22,-79.4102120036962,43.694575155794574,0,1,OK
23,-79.42743727145343,43.64323291701175,0,nan,OK
24,-79.33140487881738,43.673123610579346,0,1,OK
25,-79.3660817123111,43.6952547024037,0,1,OK
26,-79.34662849288095,43.676202676003925,0,1,OK
27,-79.3149657087693,43.67027758972551,0,1,OK
28,-79.35925705038439,43.705026177201255,0,nan,OK
29,-79.39817982201237,43.69132208703189,0,1,OK
30,-79.42032938361746,43.658444601733926,0,1,OK
31,-79.31044681312325,43.65010105625879,0,1,OK
32,-79.37810093108361,43.64103719802795,0,1,OK
33,-79.32912242430464,43.641831217873765,0,1,OK
34,-79.34386601211057,43.67106936242083,0,1,OK
35,-79.41209360252189,43.67998050864095,0,1,OK
36,-79.36533528378827,43.65398200857281,0,1,OK
37,-79.35078841064924,43.703375662977486,0,nan,OK
38,-79.42638972891172,43.69969921315833,0,nan,OK
39,-79.34749206658374,43.678844680496475,0,1,OK
